Base,hour,day_of_week,month,ride_count
B02512,0,0,9,42
B02512,0,1,9,39
B02512,0,2,9,51
B02512,0,3,9,49
B02512,0,4,9,58
B02512,0,5,9,193
B02512,0,6,9,236
B02512,1,0,9,22
B02512,1,1,9,21
B02512,1,2,9,34
B02512,1,3,9,33
B02512,1,4,9,24
B02512,1,5,9,107
B02512,1,6,9,134
B02512,2,0,9,21
B02512,2,1,9,14
B02512,2,2,9,15
B02512,2,3,9,16
B02512,2,4,9,23
B02512,2,5,9,67
B02512,2,6,9,73
B02512,3,0,9,50
B02512,3,1,9,33
B02512,3,2,9,20
B02512,3,3,9,21
B02512,3,4,9,32
B02512,3,5,9,33
B02512,3,6,9,34
B02512,4,0,9,73
B02512,4,1,9,54
B02512,4,2,9,35
B02512,4,3,9,41
B02512,4,4,9,45
B02512,4,5,9,24
B02512,4,6,9,25
B02512,5,0,9,114
B02512,5,1,9,109
B02512,5,2,9,88
B02512,5,3,9,67
B02512,5,4,9,90
B02512,5,5,9,33
B02512,5,6,9,41
B02512,6,0,9,203
B02512,6,1,9,233
B02512,6,2,9,174
B02512,6,3,9,151
B02512,6,4,9,146
B02512,6,5,9,52
B02512,6,6,9,50
B02512,7,0,9,244
B02512,7,1,9,314
B02512,7,2,9,233
B02512,7,3,9,245
B02512,7,4,9,213
B02512,7,5,9,71
B02512,7,6,9,73
B02512,8,0,9,218
B02512,8,1,9,286
B02512,8,2,9,182
B02512,8,3,9,231
B02512,8,4,9,238
B02512,8,5,9,118
B02512,8,6,9,120
B02512,9,0,9,182
B02512,9,1,9,227
B02512,9,2,9,159
B02512,9,3,9,216
B02512,9,4,9,180
B02512,9,5,9,114
B02512,9,6,9,135
B02512,10,0,9,208
B02512,10,1,9,253
B02512,10,2,9,203
B02512,10,3,9,214
B02512,10,4,9,187
B02512,10,5,9,146
B02512,10,6,9,170
B02512,11,0,9,213
B02512,11,1,9,232
B02512,11,2,9,202
B02512,11,3,9,239
B02512,11,4,9,200
B02512,11,5,9,196
B02512,11,6,9,205
B02512,12,0,9,237
B02512,12,1,9,236
B02512,12,2,9,196
B02512,12,3,9,230
B02512,12,4,9,229
B02512,12,5,9,227
B02512,12,6,9,217
B02512,13,0,9,255
B02512,13,1,9,255
B02512,13,2,9,247
B02512,13,3,9,267
B02512,13,4,9,271
B02512,13,5,9,241
B02512,13,6,9,223
B02512,14,0,9,270
B02512,14,1,9,314
B02512,14,2,9,279
B02512,14,3,9,270
B02512,14,4,9,294
B02512,14,5,9,306
B02512,14,6,9,214
B02512,15,0,9,309
B02512,15,1,9,366
B02512,15,2,9,289
B02512,15,3,9,305
B02512,15,4,9,329
B02512,15,5,9,320
B02512,15,6,9,247
B02512,16,0,9,342
B02512,16,1,9,446
B02512,16,2,9,334
B02512,16,3,9,335
B02512,16,4,9,371
B02512,16,5,9,332
B02512,16,6,9,228
B02512,17,0,9,337
B02512,17,1,9,459
B02512,17,2,9,377
B02512,17,3,9,366
B02512,17,4,9,402
B02512,17,5,9,310
B02512,17,6,9,221
B02512,18,0,9,302
B02512,18,1,9,464
B02512,18,2,9,368
B02512,18,3,9,434
B02512,18,4,9,446
B02512,18,5,9,404
B02512,18,6,9,208
B02512,19,0,9,310
B02512,19,1,9,368
B02512,19,2,9,328
B02512,19,3,9,377
B02512,19,4,9,408
B02512,19,5,9,413
B02512,19,6,9,195
B02512,20,0,9,292
B02512,20,1,9,328
B02512,20,2,9,287
B02512,20,3,9,327
B02512,20,4,9,359
B02512,20,5,9,316
B02512,20,6,9,170
B02512,21,0,9,234
B02512,21,1,9,280
B02512,21,2,9,258
B02512,21,3,9,318
B02512,21,4,9,346
B02512,21,5,9,385
B02512,21,6,9,147
B02512,22,0,9,174
B02512,22,1,9,190
B02512,22,2,9,207
B02512,22,3,9,242
B02512,22,4,9,348
B02512,22,5,9,374
B02512,22,6,9,113
B02512,23,0,9,102
B02512,23,1,9,94
B02512,23,2,9,110
B02512,23,3,9,146
B02512,23,4,9,293
B02512,23,5,9,333
B02512,23,6,9,59
B02598,0,0,9,431
B02598,0,1,9,323
B02598,0,2,9,338
B02598,0,3,9,399
B02598,0,4,9,557
B02598,0,5,9,1609
B02598,0,6,9,1787
B02598,1,0,9,262
B02598,1,1,9,201
B02598,1,2,9,178
B02598,1,3,9,242
B02598,1,4,9,319
B02598,1,5,9,964
B02598,1,6,9,1244
B02598,2,0,9,227
B02598,2,1,9,139
B02598,2,2,9,134
B02598,2,3,9,158
B02598,2,4,9,221
B02598,2,5,9,588
B02598,2,6,9,794
B02598,3,0,9,443
B02598,3,1,9,319
B02598,3,2,9,228
B02598,3,3,9,255
B02598,3,4,9,340
B02598,3,5,9,436
B02598,3,6,9,480
B02598,4,0,9,593
B02598,4,1,9,527
B02598,4,2,9,374
B02598,4,3,9,425
B02598,4,4,9,442
B02598,4,5,9,340
B02598,4,6,9,331
B02598,5,0,9,876
B02598,5,1,9,970
B02598,5,2,9,705
B02598,5,3,9,627
B02598,5,4,9,713
B02598,5,5,9,349
B02598,5,6,9,328
B02598,6,0,9,1302
B02598,6,1,9,1706
B02598,6,2,9,1322
B02598,6,3,9,1310
B02598,6,4,9,1208
B02598,6,5,9,462
B02598,6,6,9,340
B02598,7,0,9,1721
B02598,7,1,9,2256
B02598,7,2,9,1717
B02598,7,3,9,1837
B02598,7,4,9,1589
B02598,7,5,9,618
B02598,7,6,9,472
B02598,8,0,9,1772
B02598,8,1,9,2169
B02598,8,2,9,1634
B02598,8,3,9,1831
B02598,8,4,9,1636
B02598,8,5,9,893
B02598,8,6,9,691
B02598,9,0,9,1371
B02598,9,1,9,1677
B02598,9,2,9,1265
B02598,9,3,9,1535
B02598,9,4,9,1364
B02598,9,5,9,1020
B02598,9,6,9,944
B02598,10,0,9,1207
B02598,10,1,9,1539
B02598,10,2,9,1155
B02598,10,3,9,1319
B02598,10,4,9,1257
B02598,10,5,9,1239
B02598,10,6,9,1095
B02598,11,0,9,1206
B02598,11,1,9,1408
B02598,11,2,9,1164
B02598,11,3,9,1359
B02598,11,4,9,1225
B02598,11,5,9,1381
B02598,11,6,9,1287
B02598,12,0,9,1164
B02598,12,1,9,1416
B02598,12,2,9,1207
B02598,12,3,9,1362
B02598,12,4,9,1264
B02598,12,5,9,1422
B02598,12,6,9,1274
B02598,13,0,9,1433
B02598,13,1,9,1662
B02598,13,2,9,1363
B02598,13,3,9,1520
B02598,13,4,9,1428
B02598,13,5,9,1579
B02598,13,6,9,1455
B02598,14,0,9,1609
B02598,14,1,9,1966
B02598,14,2,9,1622
B02598,14,3,9,1800
B02598,14,4,9,1783
B02598,14,5,9,2106
B02598,14,6,9,1529
B02598,15,0,9,1888
B02598,15,1,9,2285
B02598,15,2,9,2069
B02598,15,3,9,2185
B02598,15,4,9,2124
B02598,15,5,9,2367
B02598,15,6,9,1628
B02598,16,0,9,2201
B02598,16,1,9,2649
B02598,16,2,9,2317
B02598,16,3,9,2467
B02598,16,4,9,2395
B02598,16,5,9,2454
B02598,16,6,9,1788
B02598,17,0,9,2263
B02598,17,1,9,2909
B02598,17,2,9,2366
B02598,17,3,9,2715
B02598,17,4,9,2656
B02598,17,5,9,2567
B02598,17,6,9,1683
B02598,18,0,9,2127
B02598,18,1,9,2931
B02598,18,2,9,2455
B02598,18,3,9,2893
B02598,18,4,9,2892
B02598,18,5,9,2815
B02598,18,6,9,1578
B02598,19,0,9,2029
B02598,19,1,9,2670
B02598,19,2,9,2163
B02598,19,3,9,2573
B02598,19,4,9,2676
B02598,19,5,9,2666
B02598,19,6,9,1406
B02598,20,0,9,1941
B02598,20,1,9,2400
B02598,20,2,9,2207
B02598,20,3,9,2392
B02598,20,4,9,2450
B02598,20,5,9,2313
B02598,20,6,9,1315
B02598,21,0,9,1680
B02598,21,1,9,2140
B02598,21,2,9,1939
B02598,21,3,9,2400
B02598,21,4,9,2632
B02598,21,5,9,2522
B02598,21,6,9,1156
B02598,22,0,9,1178
B02598,22,1,9,1523
B02598,22,2,9,1503
B02598,22,3,9,1855
B02598,22,4,9,2600
B02598,22,5,9,2591
B02598,22,6,9,894
B02598,23,0,9,691
B02598,23,1,9,630
B02598,23,2,9,810
B02598,23,3,9,1162
B02598,23,4,9,2231
B02598,23,5,9,2377
B02598,23,6,9,535
B02617,0,0,9,728
B02617,0,1,9,506
B02617,0,2,9,548
B02617,0,3,9,678
B02617,0,4,9,1021
B02617,0,5,9,2534
B02617,0,6,9,3036
B02617,1,0,9,461
B02617,1,1,9,258
B02617,1,2,9,327
B02617,1,3,9,398
B02617,1,4,9,599
B02617,1,5,9,1823
B02617,1,6,9,2278
B02617,2,0,9,371
B02617,2,1,9,212
B02617,2,2,9,209
B02617,2,3,9,274
